Date;Open;High;Low;Close;Volume
Jan 2, 2015;24.78;24.79;23.88;24.32;212,818,400
Jan 5, 2015;24.09;24.17;23.45;23.64;257,142,000
Jan 6, 2015;23.70;23.90;23.27;23.64;263,188,400
Jan 7, 2015;23.85;24.07;23.74;23.97;160,423,600
Jan 8, 2015;24.30;24.95;24.18;24.89;237,458,000
Jan 9, 2015;25.06;25.19;24.52;24.92;214,798,000
Jan 12, 2015;25.05;25.05;24.20;24.30;198,603,200
Jan 13, 2015;24.79;25.09;24.23;24.52;268,367,600
Jan 14, 2015;24.26;24.58;24.14;24.42;195,826,400
Jan 15, 2015;24.47;24.48;23.73;23.76;240,056,000
Jan 16, 2015;23.81;23.93;23.40;23.58;314,053,200
Jan 20, 2015;23.99;24.24;23.69;24.18;199,599,600
Jan 21, 2015;24.24;24.71;24.08;24.37;194,303,600
Jan 22, 2015;24.53;25.02;24.41;25.00;215,185,600
Jan 23, 2015;24.98;25.30;24.81;25.13;185,859,200
Jan 26, 2015;25.30;25.44;25.09;25.16;222,460,000
Jan 27, 2015;25.01;25.02;24.25;24.28;382,274,800
Jan 28, 2015;26.17;26.28;25.65;25.65;585,908,400
Jan 29, 2015;25.88;26.51;25.71;26.45;337,745,600
Jan 30, 2015;26.34;26.69;25.99;26.06;334,982,000
Feb 2, 2015;26.26;26.51;25.82;26.39;250,956,400
Feb 3, 2015;26.36;26.49;26.16;26.39;207,662,800
Feb 4, 2015;26.36;26.81;26.32;26.60;280,598,800
Feb 5, 2015;26.80;26.85;26.63;26.79;168,984,800
Feb 6, 2015;26.80;26.86;26.45;26.56;174,826,400
Feb 9, 2015;26.48;26.76;26.45;26.74;155,559,200
Feb 10, 2015;26.84;27.28;26.84;27.25;248,034,000
Feb 11, 2015;27.42;27.90;27.36;27.89;294,247,200
Feb 12, 2015;28.15;28.47;28.04;28.24;297,898,000
Feb 13, 2015;28.43;28.43;28.06;28.38;217,088,800
Feb 17, 2015;28.47;28.78;28.34;28.55;252,609,600
Feb 18, 2015;28.50;28.76;28.46;28.75;179,566,800
Feb 19, 2015;28.69;28.82;28.66;28.69;149,449,600
Feb 20, 2015;28.72;28.92;28.60;28.92;195,793,600
Feb 23, 2015;29.04;29.70;28.96;29.70;283,896,400
Feb 24, 2015;29.69;29.84;29.29;29.52;276,912,400
Feb 25, 2015;29.38;29.39;28.62;28.76;298,846,800
Feb 26, 2015;28.76;29.23;28.28;29.13;365,150,000
Feb 27, 2015;29.03;29.16;28.64;28.69;248,059,200
Mar 2, 2015;28.87;29.10;28.65;28.83;192,386,800
Mar 3, 2015;28.80;28.93;28.61;28.89;151,265,200
Mar 4, 2015;28.83;28.93;28.66;28.71;126,665,200
Mar 5, 2015;28.72;28.75;28.09;28.23;226,068,400
Mar 6, 2015;28.68;28.89;28.20;28.27;291,368,400
Mar 9, 2015;28.58;28.94;27.93;28.39;354,114,000
Mar 10, 2015;28.23;28.41;27.65;27.81;275,426,400
Mar 11, 2015;27.86;27.86;27.27;27.30;275,756,000
Mar 12, 2015;27.32;27.89;27.16;27.79;193,450,800
Mar 13, 2015;27.78;28.01;27.38;27.60;207,309,200
Mar 16, 2015;27.67;27.90;27.44;27.90;143,497,200
Mar 17, 2015;28.12;28.43;28.06;28.37;204,092,400
Mar 18, 2015;28.36;28.85;28.22;28.69;261,083,600
Mar 19, 2015;28.75;28.87;28.45;28.47;183,238,000
Mar 20, 2015;28.64;28.68;27.95;28.12;274,780,400
Mar 23, 2015;28.39;28.55;28.26;28.41;150,838,800
Mar 24, 2015;28.41;28.59;28.26;28.29;131,369,200
Mar 25, 2015;28.26;28.32;27.55;27.55;206,620,800
Mar 26, 2015;27.42;27.89;27.38;27.75;190,291,600
Mar 27, 2015;27.82;27.85;27.45;27.53;158,184,800
Mar 30, 2015;27.70;28.23;27.69;28.22;188,398,800
Mar 31, 2015;28.16;28.25;27.77;27.79;168,362,400
Apr 1, 2015;27.88;27.94;27.49;27.75;162,485,600
Apr 2, 2015;27.92;28.04;27.74;27.99;128,880,400
Apr 6, 2015;27.80;28.48;27.77;28.44;148,776,000
Apr 7, 2015;28.51;28.61;28.13;28.14;140,049,200
Apr 8, 2015;28.11;28.23;27.91;28.05;149,316,800
Apr 9, 2015;28.11;28.27;27.84;28.26;129,936,000
Apr 10, 2015;28.13;28.41;27.97;28.38;160,752,000
Apr 13, 2015;28.67;28.71;28.28;28.33;145,460,400
Apr 14, 2015;28.36;28.43;28.12;28.21;102,098,400
Apr 15, 2015;28.23;28.39;28.14;28.31;115,881,600
Apr 16, 2015;28.20;28.38;28.16;28.18;113,476,000
Apr 17, 2015;28.04;28.17;27.80;27.86;207,828,000
Apr 20, 2015;28.04;28.61;27.95;28.50;188,217,200
Apr 21, 2015;28.61;28.63;28.29;28.34;129,740,400
Apr 22, 2015;28.36;28.78;28.21;28.72;150,618,000
Apr 23, 2015;28.65;29.13;28.62;28.96;183,083,600
Apr 24, 2015;29.14;29.17;28.86;29.10;178,103,600
Apr 27, 2015;29.55;29.73;29.29;29.62;387,816,800
Apr 28, 2015;30.03;30.05;28.94;29.16;475,696,000
Apr 29, 2015;29.07;29.39;28.65;28.73;253,544,400
Apr 30, 2015;28.73;28.73;27.82;27.95;332,781,600
May 1, 2015;28.16;29.06;27.98;28.80;234,050,400
May 4, 2015;28.92;29.16;28.64;28.74;203,953,200
May 5, 2015;28.62;28.69;28.09;28.09;197,085,600
May 6, 2015;28.26;28.31;27.55;27.92;288,564,000
May 7, 2015;27.98;28.27;27.81;28.09;175,763,600
May 8, 2015;28.41;28.62;28.28;28.62;222,201,600
May 11, 2015;28.57;28.61;28.17;28.33;168,143,200
May 12, 2015;28.17;28.45;27.99;28.23;192,640,000
May 13, 2015;28.29;28.52;28.23;28.26;138,776,800
May 14, 2015;28.57;28.92;28.52;28.92;180,814,000
May 15, 2015;28.95;29.04;28.75;28.88;152,832,000
May 18, 2015;28.79;29.32;28.79;29.20;203,531,600
May 19, 2015;29.31;29.35;29.07;29.17;178,532,800
May 20, 2015;29.15;29.37;29.01;29.17;145,819,600
May 21, 2015;29.17;29.52;29.12;29.47;158,921,600
May 22, 2015;29.51;29.82;29.47;29.72;182,384,000
May 26, 2015;29.74;29.81;28.96;29.07;282,790,400
May 27, 2015;29.23;29.66;29.17;29.61;183,332,800
May 28, 2015;29.57;29.59;29.40;29.55;122,933,200
May 29, 2015;29.43;29.48;29.13;29.22;203,538,000
Jun 1, 2015;29.22;29.47;29.17;29.27;128,451,200
