Date;Open;High;Low;Close;Volume
Jan 2, 2015;0.48;0.49;0.48;0.48;113,680,000
Jan 5, 2015;0.48;0.48;0.47;0.47;197,952,000
Jan 6, 2015;0.48;0.48;0.46;0.46;197,764,000
Jan 7, 2015;0.46;0.47;0.46;0.46;321,808,000
Jan 8, 2015;0.46;0.48;0.46;0.48;283,780,000
Jan 9, 2015;0.48;0.48;0.47;0.48;209,540,000
Jan 12, 2015;0.48;0.48;0.47;0.47;190,732,000
Jan 13, 2015;0.48;0.49;0.47;0.47;236,720,000
Jan 14, 2015;0.47;0.48;0.47;0.47;155,260,000
Jan 15, 2015;0.48;0.48;0.47;0.47;188,932,000
Jan 16, 2015;0.47;0.48;0.47;0.48;181,512,000
Jan 20, 2015;0.48;0.49;0.47;0.48;140,308,000
Jan 21, 2015;0.48;0.49;0.47;0.49;144,780,000
Jan 22, 2015;0.49;0.50;0.48;0.50;159,712,000
Jan 23, 2015;0.50;0.50;0.49;0.50;120,416,000
Jan 26, 2015;0.49;0.50;0.49;0.49;133,240,000
Jan 27, 2015;0.49;0.49;0.47;0.47;357,948,000
Jan 28, 2015;0.48;0.48;0.46;0.46;272,728,000
Jan 29, 2015;0.46;0.48;0.46;0.47;235,340,000
Jan 30, 2015;0.47;0.48;0.46;0.46;298,200,000
Feb 2, 2015;0.46;0.47;0.45;0.47;259,604,000
Feb 3, 2015;0.47;0.48;0.47;0.48;183,468,000
Feb 4, 2015;0.48;0.49;0.48;0.48;181,516,000
Feb 5, 2015;0.48;0.49;0.48;0.49;140,448,000
Feb 6, 2015;0.49;0.50;0.49;0.49;210,524,000
Feb 9, 2015;0.49;0.49;0.48;0.49;273,944,000
Feb 10, 2015;0.49;0.50;0.49;0.50;226,204,000
Feb 11, 2015;0.50;0.50;0.50;0.50;320,832,000
Feb 12, 2015;0.53;0.54;0.52;0.54;676,904,000
Feb 13, 2015;0.53;0.54;0.53;0.54;310,084,000
Feb 17, 2015;0.53;0.54;0.53;0.54;203,340,000
Feb 18, 2015;0.54;0.54;0.53;0.53;170,948,000
Feb 19, 2015;0.54;0.54;0.53;0.53;169,432,000
Feb 20, 2015;0.53;0.54;0.53;0.54;157,752,000
Feb 23, 2015;0.54;0.54;0.53;0.53;125,008,000
Feb 24, 2015;0.53;0.54;0.53;0.54;149,356,000
Feb 25, 2015;0.54;0.54;0.53;0.53;123,820,000
Feb 26, 2015;0.53;0.54;0.53;0.53;152,864,000
Feb 27, 2015;0.53;0.53;0.53;0.53;157,492,000
Mar 2, 2015;0.53;0.55;0.53;0.54;301,512,000
Mar 3, 2015;0.54;0.54;0.53;0.53;160,344,000
Mar 4, 2015;0.53;0.54;0.53;0.54;226,840,000
Mar 5, 2015;0.54;0.55;0.54;0.55;323,056,000
Mar 6, 2015;0.55;0.55;0.54;0.54;257,392,000
Mar 9, 2015;0.54;0.55;0.54;0.54;222,388,000
Mar 10, 2015;0.55;0.56;0.55;0.55;527,212,000
Mar 11, 2015;0.55;0.56;0.55;0.55;262,120,000
Mar 12, 2015;0.55;0.55;0.54;0.55;406,972,000
Mar 13, 2015;0.54;0.55;0.54;0.55;359,288,000
Mar 16, 2015;0.55;0.56;0.55;0.55;236,956,000
Mar 17, 2015;0.55;0.56;0.55;0.56;299,900,000
Mar 18, 2015;0.56;0.56;0.55;0.55;413,844,000
Mar 19, 2015;0.55;0.56;0.55;0.56;310,756,000
Mar 20, 2015;0.56;0.57;0.56;0.57;462,084,000
Mar 23, 2015;0.55;0.56;0.55;0.55;426,012,000
Mar 24, 2015;0.55;0.55;0.54;0.54;330,480,000
Mar 25, 2015;0.54;0.54;0.51;0.51;542,552,000
Mar 26, 2015;0.50;0.51;0.49;0.51;311,920,000
Mar 27, 2015;0.51;0.52;0.50;0.52;318,288,000
Mar 30, 2015;0.52;0.52;0.51;0.52;253,252,000
Mar 31, 2015;0.52;0.52;0.50;0.50;357,276,000
Apr 1, 2015;0.51;0.51;0.50;0.51;330,768,000
Apr 2, 2015;0.51;0.51;0.50;0.51;192,204,000
Apr 6, 2015;0.51;0.52;0.50;0.52;515,864,000
Apr 7, 2015;0.52;0.53;0.52;0.53;413,964,000
Apr 8, 2015;0.53;0.53;0.52;0.53;366,432,000
Apr 9, 2015;0.53;0.54;0.53;0.54;379,432,000
Apr 10, 2015;0.54;0.55;0.54;0.55;258,728,000
Apr 13, 2015;0.55;0.55;0.54;0.54;236,724,000
Apr 14, 2015;0.54;0.54;0.53;0.54;220,276,000
Apr 15, 2015;0.54;0.55;0.54;0.55;243,560,000
Apr 16, 2015;0.54;0.55;0.54;0.54;155,284,000
Apr 17, 2015;0.53;0.54;0.53;0.53;293,636,000
Apr 20, 2015;0.54;0.54;0.53;0.53;231,624,000
Apr 21, 2015;0.54;0.54;0.53;0.53;230,456,000
Apr 22, 2015;0.53;0.54;0.53;0.54;207,420,000
Apr 23, 2015;0.53;0.54;0.52;0.54;259,380,000
Apr 24, 2015;0.54;0.54;0.52;0.53;240,960,000
Apr 27, 2015;0.53;0.54;0.53;0.53;248,456,000
Apr 28, 2015;0.53;0.54;0.53;0.54;234,484,000
Apr 29, 2015;0.53;0.54;0.53;0.53;195,156,000
Apr 30, 2015;0.53;0.54;0.53;0.53;218,844,000
May 1, 2015;0.54;0.55;0.54;0.55;256,968,000
May 4, 2015;0.55;0.55;0.54;0.54;200,720,000
May 5, 2015;0.54;0.54;0.53;0.53;292,928,000
May 6, 2015;0.53;0.54;0.53;0.53;316,484,000
May 7, 2015;0.53;0.54;0.53;0.54;534,564,000
May 8, 2015;0.51;0.53;0.49;0.50;1,146,552,000
May 11, 2015;0.49;0.50;0.49;0.50;544,144,000
May 12, 2015;0.49;0.51;0.49;0.50;388,800,000
May 13, 2015;0.51;0.51;0.50;0.50;308,524,000
May 14, 2015;0.51;0.52;0.51;0.51;293,052,000
May 15, 2015;0.52;0.52;0.51;0.51;215,824,000
May 18, 2015;0.51;0.52;0.51;0.51;324,972,000
May 19, 2015;0.51;0.51;0.51;0.51;253,808,000
May 20, 2015;0.51;0.52;0.51;0.51;196,824,000
May 21, 2015;0.51;0.51;0.51;0.51;239,692,000
May 22, 2015;0.51;0.51;0.50;0.50;212,592,000
May 26, 2015;0.50;0.51;0.50;0.50;259,732,000
May 27, 2015;0.51;0.53;0.50;0.53;432,332,000
May 28, 2015;0.53;0.54;0.53;0.54;327,656,000
May 29, 2015;0.54;0.54;0.53;0.54;335,168,000
Jun 1, 2015;0.54;0.55;0.54;0.54;372,660,000
Jun 2, 2015;0.54;0.54;0.53;0.53;224,304,000
Jun 3, 2015;0.53;0.54;0.52;0.53;250,788,000
Jun 4, 2015;0.52;0.54;0.52;0.53;323,712,000
Jun 5, 2015;0.53;0.54;0.53;0.54;313,320,000
Jun 8, 2015;0.54;0.54;0.52;0.53;342,812,000
Jun 9, 2015;0.53;0.53;0.53;0.53;256,888,000
Jun 10, 2015;0.52;0.53;0.52;0.52;529,460,000
Jun 11, 2015;0.52;0.53;0.52;0.53;283,052,000
Jun 12, 2015;0.52;0.53;0.51;0.51;323,728,000
Jun 15, 2015;0.51;0.51;0.50;0.51;306,548,000
Jun 16, 2015;0.51;0.52;0.50;0.52;256,892,000
Jun 17, 2015;0.52;0.53;0.51;0.52;233,544,000
Jun 18, 2015;0.53;0.53;0.53;0.53;299,404,000
Jun 19, 2015;0.53;0.54;0.52;0.53;355,656,000
Jun 22, 2015;0.53;0.53;0.52;0.53;514,236,000
Jun 23, 2015;0.53;0.53;0.51;0.51;414,064,000
Jun 24, 2015;0.51;0.52;0.51;0.51;253,368,000
Jun 25, 2015;0.51;0.52;0.51;0.51;350,460,000
Jun 26, 2015;0.51;0.51;0.50;0.50;421,296,000
Jun 29, 2015;0.50;0.50;0.49;0.49;391,724,000
Jun 30, 2015;0.49;0.49;0.48;0.49;315,916,000
Jul 1, 2015;0.50;0.51;0.49;0.49;302,892,000
Jul 2, 2015;0.49;0.50;0.49;0.49;145,764,000
Jul 6, 2015;0.49;0.50;0.48;0.49;214,776,000
Jul 7, 2015;0.49;0.49;0.46;0.48;594,252,000
Jul 8, 2015;0.48;0.48;0.47;0.48;332,492,000
Jul 9, 2015;0.48;0.49;0.47;0.47;357,588,000
Jul 10, 2015;0.48;0.48;0.47;0.48;216,708,000
Jul 13, 2015;0.48;0.48;0.48;0.48;212,472,000
Jul 14, 2015;0.48;0.48;0.48;0.48;249,216,000
Jul 15, 2015;0.48;0.48;0.47;0.48;265,732,000
Jul 16, 2015;0.48;0.49;0.48;0.49;282,848,000
Jul 17, 2015;0.49;0.49;0.48;0.49;220,372,000
Jul 20, 2015;0.49;0.49;0.48;0.48;188,412,000
Jul 21, 2015;0.48;0.49;0.48;0.48;149,720,000
Jul 22, 2015;0.48;0.48;0.46;0.47;356,472,000
Jul 23, 2015;0.47;0.48;0.47;0.48;169,916,000
Jul 24, 2015;0.48;0.48;0.47;0.47;188,844,000
Jul 27, 2015;0.47;0.47;0.46;0.47;192,420,000
Jul 28, 2015;0.47;0.48;0.46;0.48;198,308,000
Jul 29, 2015;0.48;0.49;0.47;0.48;232,680,000
Jul 30, 2015;0.48;0.49;0.48;0.48;190,180,000
Jul 31, 2015;0.49;0.49;0.48;0.48;218,340,000
Aug 3, 2015;0.49;0.49;0.48;0.49;397,132,000
Aug 4, 2015;0.49;0.49;0.49;0.49;260,100,000
Aug 5, 2015;0.51;0.51;0.50;0.50;234,628,000
Aug 6, 2015;0.50;0.50;0.49;0.49;655,676,000
Aug 7, 2015;0.54;0.57;0.53;0.56;1,405,248,000
Aug 10, 2015;0.55;0.58;0.55;0.58;662,304,000
Aug 11, 2015;0.57;0.58;0.57;0.57;435,008,000
Aug 12, 2015;0.56;0.58;0.56;0.57;384,048,000
Aug 13, 2015;0.57;0.58;0.57;0.57;276,884,000
Aug 14, 2015;0.57;0.57;0.57;0.57;214,652,000
Aug 17, 2015;0.57;0.57;0.56;0.57;273,880,000
Aug 18, 2015;0.56;0.57;0.56;0.56;287,084,000
Aug 19, 2015;0.56;0.57;0.55;0.56;249,248,000
Aug 20, 2015;0.55;0.56;0.54;0.54;426,932,000
Aug 21, 2015;0.53;0.54;0.52;0.52;382,664,000
Aug 24, 2015;0.49;0.53;0.49;0.50;682,284,000
Aug 25, 2015;0.53;0.53;0.49;0.49;622,684,000
Aug 26, 2015;0.51;0.53;0.51;0.53;614,976,000
Aug 27, 2015;0.54;0.55;0.53;0.55;463,764,000
Aug 28, 2015;0.55;0.56;0.55;0.55;320,944,000
Aug 31, 2015;0.55;0.55;0.54;0.55;219,352,000
Sep 1, 2015;0.53;0.54;0.52;0.52;353,408,000
Sep 2, 2015;0.54;0.54;0.53;0.54;344,044,000
Sep 3, 2015;0.55;0.55;0.54;0.54;262,556,000
Sep 4, 2015;0.53;0.54;0.53;0.53;287,972,000
Sep 8, 2015;0.54;0.55;0.54;0.55;238,448,000
Sep 9, 2015;0.55;0.56;0.54;0.54;289,392,000
Sep 10, 2015;0.54;0.56;0.53;0.55;357,076,000
Sep 11, 2015;0.54;0.55;0.54;0.55;301,584,000
Sep 14, 2015;0.55;0.55;0.55;0.55;192,460,000
Sep 15, 2015;0.55;0.56;0.55;0.56;327,976,000
Sep 16, 2015;0.56;0.56;0.55;0.56;173,508,000
Sep 17, 2015;0.57;0.58;0.57;0.57;268,712,000
Sep 18, 2015;0.56;0.57;0.56;0.57;326,412,000
Sep 21, 2015;0.57;0.57;0.56;0.57;281,840,000
Sep 22, 2015;0.56;0.56;0.55;0.56;228,356,000
Sep 23, 2015;0.56;0.56;0.55;0.56;161,632,000
Sep 24, 2015;0.56;0.58;0.55;0.57;382,440,000
Sep 25, 2015;0.58;0.59;0.57;0.57;369,692,000
Sep 28, 2015;0.57;0.58;0.56;0.57;395,584,000
Sep 29, 2015;0.57;0.58;0.56;0.58;380,736,000
Sep 30, 2015;0.58;0.60;0.58;0.60;556,380,000
Oct 1, 2015;0.60;0.60;0.57;0.59;489,296,000
Oct 2, 2015;0.58;0.60;0.58;0.60;386,144,000
Oct 5, 2015;0.61;0.63;0.60;0.62;482,024,000
Oct 6, 2015;0.61;0.63;0.61;0.63;453,216,000
Oct 7, 2015;0.63;0.64;0.62;0.63;310,152,000
Oct 8, 2015;0.63;0.64;0.62;0.64;460,068,000
Oct 9, 2015;0.63;0.64;0.62;0.63;423,248,000
Oct 12, 2015;0.63;0.64;0.63;0.64;227,588,000
Oct 13, 2015;0.64;0.65;0.63;0.64;298,444,000
Oct 14, 2015;0.64;0.68;0.64;0.67;612,148,000
Oct 15, 2015;0.67;0.68;0.66;0.67;526,048,000
Oct 16, 2015;0.67;0.68;0.67;0.68;448,396,000
Oct 19, 2015;0.68;0.68;0.67;0.68;294,712,000
Oct 20, 2015;0.67;0.68;0.67;0.68;264,824,000
Oct 21, 2015;0.68;0.68;0.67;0.67;386,280,000
Oct 22, 2015;0.67;0.69;0.67;0.69;306,884,000
Oct 23, 2015;0.70;0.70;0.69;0.69;381,776,000
Oct 26, 2015;0.70;0.70;0.69;0.69;247,436,000
Oct 27, 2015;0.69;0.70;0.69;0.69;208,268,000
Oct 28, 2015;0.70;0.70;0.69;0.70;217,036,000
Oct 29, 2015;0.69;0.69;0.67;0.67;327,168,000
Oct 30, 2015;0.68;0.69;0.68;0.69;301,160,000
Nov 2, 2015;0.69;0.70;0.69;0.70;190,088,000
Nov 3, 2015;0.69;0.70;0.68;0.69;376,768,000
Nov 4, 2015;0.69;0.70;0.68;0.68;442,264,000
Nov 5, 2015;0.68;0.69;0.67;0.67;478,800,000
Nov 6, 2015;0.74;0.78;0.72;0.77;1,172,272,000
Nov 9, 2015;0.76;0.77;0.75;0.76;492,568,000
Nov 10, 2015;0.75;0.76;0.73;0.75;552,260,000
Nov 11, 2015;0.75;0.75;0.74;0.74;619,896,000
Nov 12, 2015;0.74;0.75;0.74;0.74;291,080,000
Nov 13, 2015;0.74;0.74;0.72;0.72;292,940,000
Nov 16, 2015;0.73;0.74;0.73;0.74;344,280,000
Nov 17, 2015;0.74;0.75;0.74;0.74;257,048,000
Nov 18, 2015;0.74;0.76;0.73;0.76;350,216,000
Nov 19, 2015;0.76;0.77;0.75;0.76;254,072,000
Nov 20, 2015;0.76;0.77;0.76;0.77;239,744,000
Nov 23, 2015;0.77;0.77;0.75;0.75;242,552,000
Nov 24, 2015;0.75;0.77;0.75;0.76;195,428,000
Nov 25, 2015;0.76;0.77;0.76;0.76;138,300,000
Nov 27, 2015;0.76;0.77;0.76;0.77;86,996,000
Nov 30, 2015;0.77;0.78;0.77;0.77;327,244,000
Dec 1, 2015;0.78;0.80;0.78;0.80;409,496,000
Dec 2, 2015;0.80;0.81;0.79;0.79;294,240,000
Dec 3, 2015;0.80;0.81;0.79;0.79;246,656,000
Dec 4, 2015;0.79;0.82;0.79;0.82;458,756,000
Dec 7, 2015;0.82;0.82;0.81;0.81;333,588,000
Dec 8, 2015;0.80;0.82;0.79;0.82;314,488,000
Dec 9, 2015;0.82;0.82;0.79;0.80;372,676,000
Dec 10, 2015;0.80;0.81;0.80;0.80;236,596,000
Dec 11, 2015;0.80;0.80;0.79;0.79;227,320,000
Dec 14, 2015;0.79;0.80;0.79;0.79;275,892,000
Dec 15, 2015;0.80;0.81;0.80;0.80;307,296,000
Dec 16, 2015;0.81;0.81;0.80;0.81;236,356,000
Dec 17, 2015;0.81;0.82;0.80;0.80;254,160,000
Dec 18, 2015;0.79;0.80;0.78;0.78;395,896,000
Dec 21, 2015;0.79;0.80;0.79;0.80;284,216,000
Dec 22, 2015;0.81;0.81;0.80;0.80;130,012,000
Dec 23, 2015;0.80;0.81;0.80;0.81;122,524,000
Dec 24, 2015;0.80;0.81;0.80;0.81;52,448,000
Dec 28, 2015;0.80;0.81;0.79;0.81;142,024,000
Dec 29, 2015;0.81;0.82;0.81;0.82;203,660,000
Dec 30, 2015;0.82;0.83;0.81;0.81;180,344,000
Dec 31, 2015;0.81;0.82;0.80;0.80;148,528,000
Jan 4, 2016;0.79;0.79;0.78;0.79;358,076,000
Jan 5, 2016;0.80;0.82;0.79;0.80;490,272,000
Jan 6, 2016;0.79;0.79;0.76;0.77;449,344,000
Jan 7, 2016;0.75;0.76;0.73;0.74;645,304,000
Jan 8, 2016;0.75;0.75;0.72;0.72;398,472,000
Jan 11, 2016;0.72;0.73;0.71;0.72;409,372,000
Jan 12, 2016;0.74;0.75;0.73;0.74;469,356,000
Jan 13, 2016;0.74;0.75;0.71;0.71;481,672,000
Jan 14, 2016;0.70;0.71;0.68;0.70;600,236,000
Jan 15, 2016;0.67;0.68;0.65;0.66;841,452,000
Jan 19, 2016;0.68;0.69;0.66;0.67;457,140,000
Jan 20, 2016;0.65;0.68;0.65;0.67;481,180,000
Jan 21, 2016;0.68;0.69;0.66;0.68;481,456,000
Jan 22, 2016;0.69;0.70;0.69;0.69;257,996,000
Jan 25, 2016;0.69;0.70;0.69;0.69;270,728,000
Jan 26, 2016;0.69;0.70;0.69;0.70;227,944,000
Jan 27, 2016;0.70;0.70;0.68;0.69;231,700,000
Jan 28, 2016;0.70;0.70;0.67;0.68;276,776,000
Jan 29, 2016;0.69;0.72;0.69;0.71;310,504,000
Feb 1, 2016;0.71;0.72;0.71;0.71;289,884,000
Feb 2, 2016;0.71;0.71;0.68;0.68;341,908,000
Feb 3, 2016;0.69;0.69;0.67;0.69;326,772,000
Feb 4, 2016;0.69;0.70;0.68;0.69;348,140,000
