Date;Open;High;Low;Close;Volume
Jan 2, 2015;3.50;3.54;3.50;3.52;6,149,500
Jan 5, 2015;3.50;3.50;3.46;3.47;5,415,500
Jan 6, 2015;3.50;3.52;3.45;3.47;11,045,500
Jan 7, 2015;3.70;3.71;3.67;3.68;12,431,500
Jan 8, 2015;3.68;3.70;3.67;3.69;6,482,500
Jan 9, 2015;3.73;3.73;3.65;3.65;15,066,000
Jan 12, 2015;3.66;3.67;3.64;3.66;9,979,500
Jan 13, 2015;3.66;3.68;3.59;3.62;8,887,500
Jan 14, 2015;3.62;3.62;3.51;3.54;12,103,000
Jan 15, 2015;3.64;3.64;3.58;3.58;12,284,500
Jan 16, 2015;3.49;3.54;3.48;3.54;12,934,500
Jan 20, 2015;3.58;3.58;3.54;3.56;5,316,500
Jan 21, 2015;3.74;3.78;3.73;3.75;21,364,000
Jan 22, 2015;3.76;3.80;3.76;3.79;9,618,500
Jan 23, 2015;3.85;3.92;3.84;3.87;14,814,000
Jan 26, 2015;3.99;4.02;3.98;4.00;17,967,000
Jan 27, 2015;3.94;3.96;3.93;3.95;8,247,500
Jan 28, 2015;4.09;4.09;4.01;4.02;17,519,500
Jan 29, 2015;4.03;4.04;4.00;4.03;12,854,000
Jan 30, 2015;4.01;4.04;3.98;3.99;11,329,000
Feb 2, 2015;3.93;4.00;3.92;3.99;8,135,500
Feb 3, 2015;3.96;4.00;3.96;4.00;10,221,000
Feb 4, 2015;4.26;4.54;4.21;4.44;46,101,000
Feb 5, 2015;4.54;4.62;4.54;4.59;17,832,500
Feb 6, 2015;4.55;4.59;4.54;4.55;9,647,500
Feb 9, 2015;4.40;4.42;4.39;4.40;11,959,500
Feb 10, 2015;4.43;4.47;4.41;4.46;10,809,000
Feb 11, 2015;4.43;4.48;4.43;4.47;7,784,500
Feb 12, 2015;4.57;4.64;4.56;4.64;14,578,500
Feb 13, 2015;4.66;4.70;4.66;4.67;7,761,000
Feb 17, 2015;4.51;4.56;4.50;4.55;11,144,000
Feb 18, 2015;4.62;4.81;4.60;4.80;25,108,000
Feb 19, 2015;4.67;4.70;4.65;4.68;12,881,000
Feb 20, 2015;4.62;4.67;4.60;4.67;11,331,000
Feb 23, 2015;4.63;4.64;4.61;4.63;7,342,000
Feb 24, 2015;4.70;4.76;4.69;4.75;8,431,500
Feb 25, 2015;4.72;4.76;4.72;4.74;4,915,500
Feb 26, 2015;4.80;4.84;4.79;4.81;6,143,500
Feb 27, 2015;4.88;4.90;4.85;4.85;8,342,000
Mar 2, 2015;4.78;4.81;4.77;4.81;6,048,500
Mar 3, 2015;4.79;4.79;4.75;4.76;6,191,000
Mar 4, 2015;4.76;4.78;4.73;4.77;5,019,500
Mar 5, 2015;4.79;4.82;4.78;4.80;6,084,000
Mar 6, 2015;4.75;4.76;4.70;4.71;7,109,000
Mar 9, 2015;4.65;4.67;4.64;4.67;5,056,000
Mar 10, 2015;4.56;4.57;4.54;4.55;7,700,000
Mar 11, 2015;4.59;4.60;4.58;4.59;7,595,500
Mar 12, 2015;4.62;4.65;4.62;4.64;5,950,500
Mar 13, 2015;4.56;4.56;4.52;4.55;7,555,000
Mar 16, 2015;4.40;4.43;4.40;4.42;11,894,000
Mar 17, 2015;4.65;4.65;4.54;4.58;9,300,500
Mar 18, 2015;4.78;4.84;4.75;4.81;12,221,500
Mar 19, 2015;4.79;4.80;4.74;4.77;5,273,000
Mar 20, 2015;4.78;4.81;4.75;4.78;7,276,000
Mar 23, 2015;4.77;4.79;4.75;4.75;6,267,000
Mar 24, 2015;4.74;4.75;4.71;4.72;4,719,000
Mar 25, 2015;4.69;4.70;4.56;4.57;13,284,500
Mar 26, 2015;4.51;4.56;4.51;4.54;5,649,500
Mar 27, 2015;4.56;4.59;4.56;4.58;4,196,500
Mar 30, 2015;4.63;4.64;4.62;4.64;6,844,000
Mar 31, 2015;4.57;4.59;4.55;4.58;8,756,500
Apr 1, 2015;4.70;4.70;4.62;4.67;9,593,000
Apr 2, 2015;4.78;4.79;4.75;4.77;8,307,000
Apr 6, 2015;5.00;5.06;4.98;5.02;12,264,000
Apr 7, 2015;5.01;5.01;4.95;4.96;7,908,500
Apr 8, 2015;5.03;5.06;5.02;5.05;6,851,500
Apr 9, 2015;5.09;5.14;5.05;5.12;8,290,500
Apr 10, 2015;5.23;5.25;5.21;5.23;10,964,500
Apr 13, 2015;5.21;5.25;5.19;5.20;6,976,000
Apr 14, 2015;5.35;5.37;5.28;5.33;13,585,500
Apr 15, 2015;5.41;5.44;5.37;5.43;21,928,500
Apr 16, 2015;5.29;5.34;5.28;5.32;12,621,500
Apr 17, 2015;5.10;5.16;5.08;5.14;17,676,500
Apr 20, 2015;5.21;5.22;5.18;5.20;5,213,500
